Date,Open,High,Low,Close,Adj Close,Volume
2021-12-21,932.390015,939.500000,931.260010,934.960022,934.960022,1337900000
2021-12-22,926.940002,926.940002,926.940002,926.940002,926.940002,0
2021-12-23,929.270020,934.280029,927.039978,932.440002,932.440002,1075700000
2021-12-24,933.250000,935.849976,928.960022,930.960022,930.960022,1010800000
2021-12-27,933.239990,935.409973,931.320007,933.489990,933.489990,1079200000
2021-12-28,936.700012,939.849976,934.929993,937.080017,937.080017,1419500000
2021-12-29,938.609985,940.989990,932.960022,936.219971,936.219971,1385400000
2021-12-30,938.150024,938.409973,931.409973,931.409973,931.409973,1439500000
2022-01-03,932.419983,945.989990,931.900024,943.320007,943.320007,1242800000
2022-01-04,945.770020,952.700012,945.010010,947.880005,947.880005,2449100000
2022-01-05,949.080017,952.809998,934.130005,939.299988,939.299988,2103600000
2022-01-06,942.299988,943.349976,930.289978,940.500000,940.500000,1894400000
2022-01-07,944.200012,952.700012,939.919983,949.859985,949.859985,1795000000
2022-01-10,949.479980,951.599976,944.179993,944.179993,944.179993,1427700000
2022-01-11,947.659973,948.890015,938.020020,940.320007,940.320007,2040600000
2022-01-12,943.950012,946.859985,937.570007,943.929993,943.929993,2184800000
2022-01-13,947.359985,950.840027,943.270020,950.590027,950.590027,1913700000
2022-01-14,949.119995,955.179993,945.190002,952.950012,952.950012,1624900000
2022-01-17,957.200012,957.299988,943.710022,948.020020,948.020020,1913500000
2022-01-18,950.330017,952.289978,932.200012,944.820007,944.820007,2202700000
2022-01-19,943.969971,944.679993,937.010010,938.609985,938.609985,2114800000
2022-01-20,942.520020,946.919983,938.039978,943.340027,943.340027,2260800000
2022-01-21,943.309998,959.760010,938.719971,959.760010,959.760010,1540600000
2022-01-24,949.489990,949.489990,949.489990,949.489990,949.489990,0
2022-01-25,944.190002,944.650024,930.729980,939.340027,939.340027,1948800000
2022-01-26,941.090027,947.169983,937.669983,946.859985,946.859985,1953900000
2022-01-27,943.869995,949.909973,940.909973,947.020020,947.020020,1878900000
2022-01-28,948.869995,950.669983,943.080017,949.770020,949.770020,1829500000
2022-01-31,952.309998,952.340027,939.630005,939.630005,939.630005,1690100000
2022-02-02,947.890015,947.890015,947.890015,947.890015,947.890015,0
2022-02-03,952.169983,952.380005,939.570007,945.940002,945.940002,1827800000
2022-02-04,949.469971,952.849976,946.119995,951.669983,951.669983,1774700000
2022-02-07,964.609985,964.609985,964.609985,964.609985,964.609985,0
2022-02-08,967.190002,976.010010,962.010010,962.010010,962.010010,2443100000
2022-02-09,966.690002,973.919983,962.109985,971.719971,971.719971,2060800000
2022-02-10,978.440002,980.489990,971.109985,973.640015,973.640015,2449500000
2022-02-11,972.090027,974.820007,963.760010,971.679993,971.679993,1660300000
2022-02-14,966.450012,967.539978,954.400024,962.640015,962.640015,1971700000
2022-02-15,965.280029,975.320007,961.580017,975.320007,975.320007,1696100000
2022-02-16,979.059998,980.950012,974.549988,976.510010,976.510010,1770300000
2022-02-17,974.119995,977.000000,964.250000,973.400024,973.400024,1558300000
2022-02-18,973.640015,982.359985,968.859985,979.960022,979.960022,1846500000
2022-02-21,980.909973,984.979980,976.780029,979.780029,979.780029,1762100000
2022-02-22,974.099976,978.190002,965.919983,973.739990,973.739990,2053000000
2022-02-23,977.830017,985.080017,975.309998,985.080017,985.080017,2134600000
2022-02-24,981.890015,986.750000,962.729980,973.650024,973.650024,4096900000
2022-02-25,975.799988,988.299988,974.599976,985.539978,985.539978,3117900000
2022-03-01,1006.659973,1008.510010,987.650024,987.650024,987.650024,3386700000
2022-03-02,995.190002,998.039978,976.380005,978.159973,978.159973,2757800000
2022-03-04,992.330017,994.659973,985.130005,994.049988,994.049988,3610900000
2022-03-07,989.289978,992.419983,982.789978,988.909973,988.909973,4238100000
2022-03-08,995.890015,1006.849976,984.450012,986.539978,986.539978,5369900000
2022-03-09,992.090027,999.270020,987.179993,993.380005,993.380005,3558500000
2022-03-10,1000.820007,1001.479980,985.059998,997.140015,997.140015,3200300000
2022-03-11,985.849976,997.700012,983.270020,997.700012,997.700012,2529000000
2022-03-14,1003.770020,1007.799988,997.539978,1003.799988,1003.799988,3145000000
2022-03-15,1007.250000,1011.979980,997.479980,1001.280029,1001.280029,3144300000
2022-03-16,1008.090027,1013.609985,1003.750000,1013.609985,1013.609985,3192500000
2022-03-17,1018.179993,1020.130005,1003.619995,1005.820007,1005.820007,3153300000
2022-03-18,1010.000000,1012.280029,999.690002,1003.770020,1003.770020,3939900000
2022-03-21,1002.250000,1008.099976,998.929993,1003.760010,1003.760010,2202900000
2022-03-22,1008.609985,1012.299988,1006.320007,1011.750000,1011.750000,2546300000
2022-03-23,1014.080017,1016.109985,1006.380005,1011.679993,1011.679993,2480900000
2022-03-24,1008.989990,1026.189941,1007.869995,1026.189941,1026.189941,2783800000
2022-03-25,1026.229980,1026.819946,1011.799988,1017.669983,1017.669983,2391400000
2022-03-28,1017.159973,1027.790039,1014.479980,1026.839966,1026.839966,2649800000
2022-03-29,1027.660034,1031.369995,1018.250000,1019.080017,1019.080017,2409300000
2022-03-30,1025.329956,1025.640015,1018.789978,1024.219971,1024.219971,3075500000
2022-03-31,1028.339966,1031.859985,1020.539978,1022.989990,1022.989990,2336300000
2022-04-01,1027.939941,1028.900024,1019.099976,1027.520020,1027.520020,2151100000
2022-04-04,1028.229980,1033.500000,1023.359985,1033.500000,1033.500000,1663200000
2022-04-05,1035.079956,1038.849976,1030.930054,1038.849976,1038.849976,1781200000
2022-04-06,1034.569946,1037.229980,1027.530029,1030.119995,1030.119995,2146800000
2022-04-07,1032.790039,1036.109985,1028.640015,1031.959961,1031.959961,2186300000
2022-04-08,1038.199951,1045.489990,1035.920044,1043.819946,1043.819946,2121300000
2022-04-11,1043.979980,1043.979980,1028.280029,1029.270020,1029.270020,2264700000
2022-04-12,1029.430054,1036.849976,1027.260010,1036.849976,1036.849976,2291800000
2022-04-13,1042.800049,1045.979980,1039.709961,1044.750000,1044.750000,2534100000
2022-04-14,1045.250000,1046.459961,1034.880005,1035.670044,1035.670044,2271500000
2022-04-18,1037.989990,1042.300049,1037.439941,1040.969971,1040.969971,1925100000
2022-04-19,1042.810059,1045.040039,1036.410034,1037.140015,1037.140015,2121500000
2022-04-20,1043.819946,1058.739990,1041.800049,1053.680054,1053.680054,3278100000
2022-04-21,1058.920044,1067.969971,1056.760010,1063.729980,1063.729980,2623700000
2022-04-22,1057.800049,1067.280029,1049.020020,1056.859985,1056.859985,2360800000
2022-04-25,1051.670044,1066.520020,1041.819946,1063.849976,1063.849976,2517600000
2022-04-26,1062.140015,1075.329956,1061.339966,1075.109985,1075.109985,2579300000
2022-04-27,1070.130005,1077.380005,1069.510010,1074.250000,1074.250000,2085500000
2022-04-28,1088.829956,1093.609985,1084.410034,1085.439941,1085.439941,3671100000
2022-05-09,1067.270020,1069.260010,1023.510010,1025.949951,1025.949951,4024900000
2022-05-10,986.840027,1023.179993,986.840027,1021.080017,1021.080017,3805000000
2022-05-11,1024.199951,1038.189941,1020.820007,1025.439941,1025.439941,0
2022-05-12,1021.799988,1021.969971,987.950012,993.349976,993.349976,3032400000
2022-05-13,989.909973,1005.049988,983.599976,995.979980,995.979980,3725200000
2022-05-17,997.140015,1013.880005,995.869995,1004.119995,1004.119995,2672500000
2022-05-18,1011.900024,1018.510010,1003.840027,1016.000000,1016.000000,2728400000
2022-05-19,998.260010,1012.270020,989.989990,1008.200012,1008.200012,2760800000
2022-05-20,1011.580017,1022.479980,1011.580017,1015.179993,1015.179993,2523900000
2022-05-23,1018.150024,1020.380005,997.960022,1002.570007,1002.570007,2262700000
2022-05-24,1006.390015,1022.260010,1006.390015,1015.929993,1015.929993,2893500000
2022-05-25,1016.099976,1021.400024,1007.510010,1009.510010,1009.510010,2411000000
2022-05-27,1025.390015,1031.930054,1021.210022,1031.930054,1031.930054,2286100000
2022-05-30,1037.699951,1038.030029,1020.289978,1029.829956,1029.829956,2219800000
2022-05-31,1036.089966,1056.780029,1033.819946,1056.780029,1056.780029,5653700000
2022-06-02,1051.660034,1054.650024,1035.660034,1039.900024,1039.900024,3131000000
2022-06-03,1046.479980,1053.829956,1043.280029,1043.540039,1043.540039,2483100000
2022-06-06,1038.650024,1044.140015,1027.709961,1036.380005,1036.380005,2081500000
2022-06-07,1036.949951,1041.209961,1030.839966,1030.839966,1030.839966,2431600000
2022-06-08,1029.800049,1044.949951,1022.750000,1041.609985,1041.609985,2744100000
2022-06-09,1040.119995,1051.319946,1037.150024,1037.180054,1037.180054,9402600000
2022-06-10,1029.099976,1033.750000,1013.489990,1019.239990,1019.239990,7154200000
